1,ano,rede,ensino,anos_escolares,taxa_aprovacao,indicador_rendimento,nota_saeb_matematica,nota_saeb_lingua_portuguesa,nota_saeb_media_padronizada,ideb,projecao,unidade
59,2013,municipal,Fundamental 2,finais (6-9),82.0,0.82483315,241.61,237.57,4.6529999,3.8,3.9,1
60,2013,municipal,Fundamental 1,iniciais (1-5),91.1,0.91136158,206.86,191.19,5.3928485,4.9,4.5,1
61,2013,privada,Fundamental 2,finais (6-9),94.6,0.94623923,293.91,280.91,6.2470002,5.9,6.5,1
62,2013,privada,Fundamental 1,iniciais (1-5),97.8,0.97839648,244.47,229.55,6.8096342,6.7,6.8,1
63,2013,privada,Médio,todos (1-4),93.8,0.92813331,321.58,306.19,5.7899103,5.4,6.0,1
64,2013,publica,Fundamental 2,finais (6-9),83.7,0.83804858,243.78,239.38,4.7196665,4.0,4.1,1
65,2013,publica,Fundamental 1,iniciais (1-5),91.8,0.91841561,205.08,189.71,5.3319159,4.9,4.7,1
66,2013,publica,Médio,todos (1-4),78.1,0.80798024,261.05,256.6,4.1975541,3.4,3.6,1
70,2015,estadual,Fundamental 2,finais (6-9),85.3,0.85259575,250.94,247.52,4.9743333,4.2,4.5,1
71,2015,estadual,Fundamental 1,iniciais (1-5),94.8,0.94988275,223.3,211.19,6.0707827,5.8,5.3,1
72,2015,estadual,Médio,todos (1-4),79.7,0.81642801,259.69,260.6,4.2380433,3.5,3.9,1
73,2015,municipal,Fundamental 2,finais (6-9),82.8,0.83238059,249.53,246.71,4.9375,4.1,4.3,1
74,2015,municipal,Fundamental 1,iniciais (1-5),91.6,0.91695869,215.61,203.63,5.7865186,5.3,4.8,1
75,2015,privada,Fundamental 2,finais (6-9),95.3,0.95324093,295.32,285.92,6.3540001,6.1,6.8,1
76,2015,privada,Fundamental 1,iniciais (1-5),98.1,0.98099756,243.55,234.55,6.8830085,6.8,7.0,1
77,2015,privada,Médio,todos (1-4),94.5,0.94761264,310.02,307.04,5.6404252,5.3,6.3,1
